,상호명,소분류,도로명,별점,URL
47,갈비다움 역삼본점,한식,서울 강남구 테헤란로25길 31,4.66,https://pcmap.place.naver.com/restaurant/1963009739/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494665669
48,램브라튼,"육류,고기요리",서울 강남구 압구정로10길 30-10,4.72,https://pcmap.place.naver.com/restaurant/35623097/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494678419
49,창고43 삼성점,소고기구이,서울 강남구 테헤란로 534 글라스타워 지하 1층,4.44,https://pcmap.place.naver.com/restaurant/693876659/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494702197
50,송포갈비,"육류,고기요리",서울 강남구 강남대로114길 23 송포갈비,4.69,https://pcmap.place.naver.com/restaurant/164280595/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494716237
51,이층고깃집 강남구청역점,소고기구이,서울 강남구 선릉로129길 9-4,4.72,https://pcmap.place.naver.com/restaurant/38269378/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494737144
52,수묵당,한식,서울 강남구 학동로53길 20,4.57,https://pcmap.place.naver.com/restaurant/1215151657/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494758705
53,육식주의자 MEATARIAN,"육류,고기요리",서울 강남구 역삼로8길 5 1층,4.66,https://pcmap.place.naver.com/restaurant/1881368157/review
54,광화문석갈비 코엑스점,"육류,고기요리",서울 강남구 테헤란로87길 22 도심공항터미널 1층,4.63,https://pcmap.place.naver.com/restaurant/1391098501/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494790464
55,우가,소고기구이,서울 강남구 도산대로49길 22 B1,4.55,https://pcmap.place.naver.com/restaurant/36802965/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494810563
56,투뿔등심 강남점,소고기구이,서울 강남구 테헤란로4길 6 센트럴 푸르지오시티 2층,4.37,https://pcmap.place.naver.com/restaurant/37001144/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494827698
57,역삼동참치,생선회,서울 강남구 테헤란로20길 13,4.64,https://pcmap.place.naver.com/restaurant/1270845824/review
58,갈비다움 압구정지점,한식,서울 강남구 논현로167길 11 102호,4.81,https://pcmap.place.naver.com/restaurant/1719071516/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494905560
