	10
이국적이고 멋진 분위기에 홀려 곧 다시 방문할 예정입니다👍 직원분들도 친절하고 칵테일 맛도 좋아요!	10
할로윈 분위기 물씬~🥰요기 완전 분위기 맛집💕	10
핼러윈 기념으로 예약하고 왔어요! 음식도 맛있고 친절해요 ~	10
시그니처 봄 칵테일분위기 조아요 🙌	10
너무 좋아서 숙박할 뻔했어요	10
너무너무 즐거웠던 하루입니다	10
직원분도 친절해서 너무너무 좋아용 덕분에 행복한 시간 보냈어요 >< 가라아케, 멘보샤, 피자 등등 음식도 넘 맛있어요!	10
친절하시구 분위기가 너무좋아요 재방문할거에용 	10
와이프 생일이라 왔는데 분위기 너무 좋고 너무 친절하고 직원분들 연예인이고 최고네요~~~^^ 진짜 추천 ㅎ	10
분위기 너무 좋아요 이런 인테리어는 처음이에요ㅎㅎ 가격대비 분위기 음식 너무 훌륭해요>_<	10
분위기 좋고 칵테일도 맛있어요!! 할로윈 분위기라 더 좋았네요!	10
역시 !AY러운지 코로나때문에 오랜만에 왔는데도 여전한 분위기에 친철한 직원들까지 !!맛은 물론이고 청결과 방역에도 힘쓰고 계시니 안전하게 즐기다 갈수있었습니다!감사합나디	10
ㅠㅠ드디어 오픈했다는 얘기듣고 오랜만에 다녀왔어요~~! 여전히 분위기는 좋고 맛있었습니다!감바스 진짜 최고> <~	10
에이와이 칵테일 분위기 맛집 인정	10
분위기 좋구 즐겁게 놀다가기 아쉬움 없던 곳😄ps. Perfect Halloween 	10
오랜만에 오픈해서 친구들과갔는데 방역은물론 너무 깨긋하게청소되어있어서안심하고 놀고 왔어요! ㅎㅎ 직원분들 다마스크 쓰고계시고 음식과 분위기도 너무최고였어요 ㅎㅎ 다음에 또 들릴게요 ^.^	10
#1일1라운지#칵테일맛집갔다온거보고 친구가 강제로 끌고감평일이라 나름 한적해서 훨 좋았음 🥳	10
올때마다 실망한 적이 없는 유일한 캌테일바입니다❗💜	10
분위기 정말 너무 좋고 서비스도 짱좋!!!!!!!! 생일파티때도 여기서 할생각입니다 완전 추천합니다 !!!	10
라운지를 처음와봤는데 분위기 깡패에 음식도 제가 먹어본 감바스중에 세손가락안에 꼽을정도로 존맛탱이네요 ㅎㅎ 자주 가게 될꺼 같아요 정말 좋았어요	10
위치도 좋고 직원들 서비스도 좋아요! 케이크 트레이도 가져다주시고 사진도 잘 찍어주셨어요 다음에도 올 것 같아요~!	10
해리포터 호그와트성에 온 느낌 !!분위기, 음악, 맛 모두 베리 굿이네요 또갈래요 또 	10
항상 이벤트 있을 때마다 와요ㅎㅎㅎ 샴페인도 감사드립다!!	10
지난번에 갔을때 너무좋아서 또 갔는데 역시나 다들 너무 친절하시고 분위기도 좋았어요! 자주 방문하게 앞으로도 계속 운영하셨으면 좋겠어요~!ㅎㅎ	10
좋아용 파티룸 노무이뻐용ㅎㅎㅎ	10
분위기도 좋고 서비스도 좋고 ! 특히 마스크 챙겨주신게 젤 좋았어용 덕분에 좋은추억 만들고 갑니당	10
10월말에 오기 딱 좋아용 왜냐 완전 할로윈분위기~~! 모임하기도 ㄸㅏㄱ좋아서 친구들이랑  우르르와겠습니다	10
라운지 고급스럽고 직원 분들 친절하세요!마스크도 철저히 써서 만족.와인 마실 때 분위기 좋았습니다.	10
진짜 분위기 갑 코로나때문에 왜이제서야 문을 여신건지 ㅠㅠ 신경써주신 덕분에 최고 기억에 남는 생파 감사합니다 ㅎㅎㅎ 분위기깡패 AY 좋네요 ㅎㅎ	10
서울 놀러왔다 우연히 추천받고 오게된 칵테일 bar👍🏻🍸 분위기도,칵테일(마티니)도,직원분들도 넘 최고에여><🤩 담에 또 올래요!!🥰 대구고향분만나서 넘 반가워요♥♥놀러와서 넘 즐거운 시간보내고갑니다	10
분위기 대박 이에욤ㅎㅎ 이번 할로윈때도 예약했어요>_<	10
자주 방문하는 AY 라운지ㅎㅎ 항상 분위기 좋고 친절하셔서 좋아요~ 잘놀다가용^^	10
#분위기 #샴페인 #둘이네보틀	10
분위기 맛집 사진 맛집 칵테일 맛집 멋있고 맛난 장소!!!	10
직원분들너무최고이구 생일파티하기에 이만한곳이없어요 진짜 분위기 서비스 때문에라도안올수가없는곳!!!	10
갈때마다 고급적이고 분위기 맛집이에요👍🏻 음식도 너무맛있어요~~^^ 술보다 분위기에 취해나옵니다 ㅋㅋ	10
친구랑 오랜만에 잘 놀구가용 감사합니다 ㅎ	10
적당한곳. 괜찮아요	10
내 최애장소 에와란지~~칵테일 진짜 넘 마싯게 만들어주시네요감바스는 말해뭐해 두말하면 입아파요	10
좋은 음악 좋은 분위기~ 분위기에 취합니다바텐더 분 너무 친절하시고 재밌어요! 강남역 분위기 좋은 바입니당	10
분위기너무좋구 친절한 응대 감사합니다다음에 또 올게뇨!!	10
오랜만에 왔는데  좋은 분위기와 칵테일에 기분좋게 시간보내고 갑니다~	10
라임모히또를 입에 댄순간 캐리비안에 온줄알았어요!!! 바텐더님도 너무 친절하시고 분위기 깡패!!AY LOUNGE 100%👍👍	10
칵테일 완전 맛있어요~ 분위기도 너무 좋고~ 다음에 다시 올께요~#강남라운지바 #강남술집 #강남칵테일바	10
지인 추천으로 갔는데 너무 좋았어요!! 함께간 사람들도 너무 좋아햇고 담에 생일파티 여기서 하려구요~~	10
#강남맛집#강남술집지인 소개로 처음 가봤는데 너무 좋은 시간 보냈습니다. 다음에 또 오고싶네요~!	10
룸도 예쁘게 꾸며주셨고, 대응도 빨라서 즐거운 예약이었습니다~!	10
너무 이쁘고 칵테일도 맛있어요><	10
칵테일 분위기 음악 다 최고👍👍👍직원들도 친절하고 즐거운시간 보내다가 가여 ㅎㅎ	10
생일파티는 ay라운지!! 분위기 최고 가성비 최고	10
친한 동생 취업 기념으로 방문했는데 분위기도 좋구 친절하셔서 잘 놀다갔습니다! 담에 생파할때도 오면 좋을거같아용!	10
너무 친절하시고 칵테일도 너무너무 맛있어요♡	10
분위기 대박입니당 ㅋㅋ직원분들도 다들 존잘존예 왕친절하세요 또갈게욤>.<	10
완전 분위기 좋고 칵테일도 맛있어요!	10
다시 ay라운지 갈 수 있어서 너무 좋았어용최애중 하나 👍👍	10
분위기 직원들서비스,음식 모두다 굳굳	10
#강남칵테일바#강남역칵테일진짜 칵테일 맛집 대존맛탱!!!	10
쾌적한 환경에서 잘 놀다 갑니다~~~~!!	10
분위기 깡퍄! 너무 맛있어요	10
그냥 믿고 가는곳	10
친절하고 좋았어요~	10
